,IATA,ICAO,Airline,Call sign,Country/Region,Comments
567,,ALL,Aerovallarta,VALLARTA,Mexico,
568,HP,AWE,America West Airlines,CACTUS,United States,Merged with US Airways
569,6R,TNO,Aerotransporte de Carga Union,AEROUNION,Mexico,
570,,TND,Aero Taxis Cessna,TAXIS CESSNA,Mexico,
571,,TMP,Arizona Express Airlines,TEMPE,United States,
572,,ALO,Allegheny Commuter Airlines,ALLEGHENY,United States,US Airways Express
573,,ALP,Allpoints Jet,ALLPOINTS,China,
574,,ALP,Alpliner AG,ALPINER,Switzerland,Code now allocated to another user
575,,ALQ,Altair Aviation (1986),ALTAIR,Canada,
576,VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela,
577,,ALW,"Alas Nacionales, S.A.",ALNACIONAL,Dominican Republic,
578,,ALY,Alyeska Air Service,ALYESKA,United States,
579,,ALZ,Alta Flights (Charters) Ltd.,,Canada,
580,,AMA,ATMA,ADIK,Kazakhstan,
581,,AMD,Aerolíneas Medellín,AEROLINEAS MEDELLIN,Colombia,defunct
582,,AMF,Ameriflight,AMFLIGHT,United States,
583,,AMH,Alan Mann Helicopters Ltd.,MANN,United Kingdom,ICAO code no longer allocated
584,,AMJ,Aviation Amos,AVIATION AMOS,Canada,
585,,AMK,Amerer Air,AMER AIR,Austria,
586,,AMM,Aeroputul International Marculesti,AEROM,Moldova,
587,DP,AMM,Air 2000,JETSET,United Kingdom,defunct
588,,AMP,Aero Transporte S.A. (ATSA),ATSA,Peru,
589,,AMQ,Aeromedicare Ltd.,LIFELINE,United Kingdom,No longer current
590,,AMQ,Aircraft Management and Consulting,AMEX,Poland,
591,TZ,AMT,ATA Airlines,AMTRAN,United States,defunct
592,,AMV,AMC Airlines,,Egypt,Aircraft Maintenance Company
593,AM,AMX,Aeroméxico,AEROMEXICO,Mexico,
594,,AMZ,Amiya Airline,AMIYA AIR,Nigeria,
595,,ANC,Anglo Cargo,ANGLO,United Kingdom,"Defunct, ICAO code no longer allocated"
596,,BRP,AeroBratsk,AEROBRA,Russia,
597,,ANH,Alajnihah for Air Transport,ALAJNIHAH,Libya,
598,,ANM,Aerotransportacion de Norteamerica,NORAM,Mexico,
599,,ANM,"Antares Airtransport, Maintenance & Service GmbH",ANTARES,Germany,ICAO Code now allocated to another user
600,TL,ANO,Airnorth,TOPEND,Australia,
601,,ANQ,Aerolínea de Antioquia,ANTIOQUIA,Colombia,
